2  4.93274	-9.867573e-01	-1.450926e-01	4.997492e-02	6.727369e-01	9.641865e-01	7.942134e-01	2.772157e+00	1.343534e-01	3.141767e-01	-2.464822e+00	-2.346247e+01	-3.719749e+00	-1.066075e+00	-3.215149e-01	-3.078538e-01	-3.069647e-01	-3.149889e-01	
1  6.9053	-1.005792e+00	-1.250965e-01	4.835950e-02	6.761504e-01	9.756092e-01	7.990072e-01	2.955598e+00	1.172746e-01	3.058562e-01	1.972394e+00	-1.268680e+01	5.237024e+00	1.432840e+01	-3.090061e-01	-2.969164e-01	-2.951471e-01	-3.032596e-01	
2  7.25885	-1.072897e+00	1.732544e-01	4.506670e-02	6.759003e-01	9.947281e-01	8.050643e-01	3.302889e+00	1.127068e-01	2.957341e-01	-1.559383e+01	-2.223016e+01	-5.510730e+00	-1.535358e+00	-3.018692e-01	-2.919705e-01	-2.896286e-01	-2.968963e-01	
1  7.33313	-1.023124e+00	-1.013634e-01	4.637189e-02	6.752900e-01	9.798023e-01	7.930078e-01	3.129243e+00	1.414973e-01	3.042598e-01	-1.719882e+01	-2.667665e+01	-1.330838e+01	-8.320052e+00	-3.050502e-01	-2.938882e-01	-2.913583e-01	-2.996545e-01	
2  6.81038	-1.024629e+00	-9.513632e-02	4.593565e-02	6.762214e-01	9.823326e-01	7.967383e-01	3.283428e+00	1.533233e-01	3.055709e-01	-1.084478e+01	-2.221874e+01	-1.235171e+01	-2.990680e+00	-3.058664e-01	-2.949874e-01	-2.913540e-01	-3.000463e-01	
1  6.87059	-1.050505e+00	7.644756e-03	4.613757e-02	6.755064e-01	9.848356e-01	7.966408e-01	3.175609e+00	1.273290e-01	3.017071e-01	-1.925950e+01	-2.391219e+01	-1.519774e+01	-2.087736e+01	-3.034117e-01	-2.932778e-01	-2.896261e-01	-2.968691e-01	
1  8.01131	-1.125854e+00	4.272089e-01	4.407354e-02	6.742731e-01	1.006405e+00	8.082818e-01	3.366032e+00	1.240428e-01	2.909121e-01	-2.867801e+01	-3.831026e+01	-1.985902e+01	-3.410530e+01	-3.018434e-01	-2.918794e-01	-2.886527e-01	-2.955018e-01	
7  6.83302	-1.067057e+00	1.163774e-01	4.676123e-02	6.734146e-01	9.872723e-01	7.960187e-01	3.024104e+00	1.638738e-01	3.021502e-01	-2.703775e+01	-3.450708e+01	-2.344921e+01	-3.367930e+01	-3.079424e-01	-2.969822e-01	-2.941623e-01	-3.012399e-01	
7  8.10208	-1.035646e+00	-1.386167e-02	4.681136e-02	6.744477e-01	9.888075e-01	7.933380e-01	3.104612e+00	1.952752e-01	3.047971e-01	-2.668261e+01	-2.974731e+01	-3.043399e+01	-1.387302e+01	-3.074570e-01	-2.966382e-01	-2.930849e-01	-3.021335e-01	
2  8.22839	-1.062558e+00	1.270079e-01	4.594543e-02	6.741766e-01	9.967994e-01	7.976457e-01	3.209256e+00	2.125732e-01	3.022791e-01	-3.061711e+01	-3.275749e+01	-2.459910e+01	-2.236119e+01	-3.073621e-01	-2.974624e-01	-2.938114e-01	-3.015964e-01	
